id,name,order,input type
M2Q1_Alpha,M2Q1_Alpha,4,Alpha
M2Q2_Alpha,M2Q2_Alpha,4,Alpha
M2Q1M2Q2_Alpha,M2Q1M2Q2_Alpha,4,Alpha
M2Q3_Alpha,M2Q3_Alpha,4,Alpha
M2Q1M2Q2M2Q3_Alpha,M2Q1M2Q2M2Q3_Alpha,4,Alpha
M2Q4_Alpha,M2Q4_Alpha,4,Alpha
M2Q1M2Q2M2Q3M2Q4_Alpha,M2Q1M2Q2M2Q3M2Q4_Alpha,4,Alpha
N22_Alpha,N22_Alpha,4,Alpha
N30_Alpha,N30_Alpha,4,Alpha
N22N30_Alpha,N22N30_Alpha,4,Alpha
M0P1_Alpha,M0P1_Alpha,4,Alpha
N22N30M0P1_Alpha,N22N30M0P1_Alpha,4,Alpha
M1T3_Alpha,M1T3_Alpha,4,Alpha
N22N30M0P1M1T3_Alpha,N22N30M0P1M1T3_Alpha,4,Alpha
M0P2_Alpha,M0P2_Alpha,4,Alpha
M0P2M1T3_Alpha,M0P2M1T3_Alpha,4,Alpha
M0P2M1T3M2Q2_Alpha,M0P2M1T3M2Q2_Alpha,4,Alpha
M0P2M1T3M2Q2M2Q3_Alpha,M0P2M1T3M2Q2M2Q3_Alpha,4,Alpha
N2_Alpha,N2_Alpha,4,Alpha
N31_Alpha,N31_Alpha,4,Alpha
N2N31_Alpha,N2N31_Alpha,4,Alpha
N2N31M2Q3_Alpha,N2N31M2Q3_Alpha,4,Alpha
N2N31M2Q3M2Q4_Alpha,N2N31M2Q3M2Q4_Alpha,4,Alpha
N13_Alpha,N13_Alpha,4,Alpha
N13N22_Alpha,N13N22_Alpha,4,Alpha
N13N22N31_Alpha,N13N22N31_Alpha,4,Alpha
N34_Alpha,N34_Alpha,4,Alpha
N13N22N31N34_Alpha,N13N22N31N34_Alpha,4,Alpha
N9_Alpha,N9_Alpha,4,Alpha
N12_Alpha,N12_Alpha,4,Alpha
N9N12_Alpha,N9N12_Alpha,4,Alpha
N37_Alpha,N37_Alpha,4,Alpha
N9N12N37_Alpha,N9N12N37_Alpha,4,Alpha
