Alpha,SNP_A,SNP_B,SNP_C,SNP_D
0.023553,N10,N43,N44,N85
0.023203,N17,N71,N77,N96
0.023068,N10,N21,N36,N41
0.023005,N19,N28,N44,N72
0.022480,N11,N43,N56,N65
0.022007,N85,N93,N96,N97
0.021837,N11,N24,N76,N88
0.021748,N12,N29,N33,N71
0.021697,N31,N40,N65,N86
0.021517,N1,N31,N36,N81
0.021370,N21,N36,N47,N53
0.021280,N42,N49,N65,N87
0.021260,N21,N31,N72,N85
0.021251,N10,N54,N55,N94
0.021247,N20,N71,N77,N96
0.021233,N43,N60,N65,N85
0.021222,N30,N36,N49,N93
0.021198,N24,N54,N60,N69
0.021172,N1,N19,N21,N30
0.021167,N17,N34,N36,N56
0.021158,N17,N36,N56,N94
0.021146,N3,N13,N43,N66
0.021081,N40,N53,N65,N79
0.021065,N33,N41,N42,N52
0.021020,N1,N54,N59,N85
0.020948,N23,N40,N86,N87
0.020935,N30,N71,N72,N81
0.020913,N9,N20,N60,N97
0.020883,N15,N20,N54,N87
0.020864,N19,N54,N65,N87
0.020856,N31,N49,N56,N75
0.020827,N3,N65,N87,N97
0.020796,N15,N43,N81,N94
0.020771,N1,N8,N11,N60
0.020769,N11,N36,N37,N65
0.020738,N8,N41,N66,N85
0.020738,N17,N43,N53,N56
0.020686,N43,N65,N76,N88
0.020663,N11,N60,N75,N85
0.020656,N21,N28,N33,N54
0.020582,N1,N20,N44,N59
0.020568,N19,N20,N43,N44
0.020543,N25,N42,N55,N81
0.020529,N11,N20,N37,N83
0.020512,N17,N34,N49,N93
0.020507,N33,N40,N44,N69
0.020499,N21,N28,N70,N77
0.020475,N10,N11,N20,N41
0.020469,N23,N77,N88,N93
0.020442,N21,N28,N71,N77
0.020427,N19,N23,N60,N86
0.020414,N12,N52,N65,N93
0.020404,N33,N51,N60,N66
0.020383,N15,N24,N65,N78
0.020371,N12,N49,N53,N94
0.020368,N11,N15,N83,N96
0.020352,N19,N56,N65,N88
0.020326,N10,N15,N31,N40
0.020321,N1,N24,N60,N85
0.020308,N33,N40,N86,N97
0.020308,N12,N19,N20,N76
0.020296,N33,N41,N42,N47
0.020294,N17,N54,N72,N86
0.020280,N8,N66,N85,N96
0.020272,N37,N52,N85,N87
0.020267,N19,N41,N71,N94
0.020265,N10,N15,N31,N77
0.020262,N34,N75,N85,N97
0.020257,N15,N32,N41,N53
0.020244,N43,N54,N77,N83
0.020241,N9,N54,N69,N94
0.020216,N21,N52,N65,N94
0.020172,N29,N40,N56,N78
0.020172,N21,N33,N36,N43
0.020164,N17,N24,N43,N88
0.020161,N3,N75,N78,N94
0.020153,N36,N41,N47,N69
0.020144,N19,N71,N81,N94
0.020143,N8,N56,N66,N77
0.020138,N29,N54,N65,N87
0.020095,N11,N17,N21,N85
0.020087,N19,N20,N69,N83
0.020081,N36,N47,N69,N94
0.020075,N56,N71,N77,N94
0.020075,N15,N17,N24,N71
0.020071,N8,N38,N69,N71
0.020058,N3,N76,N87,N97
0.020055,N11,N31,N40,N79
0.020032,N3,N75,N85,N96
0.020027,N21,N33,N53,N93
0.020015,N20,N43,N79,N88
0.020013,N36,N41,N65,N76
0.019984,N10,N21,N41,N56
0.019979,N15,N54,N77,N81
0.019958,N56,N76,N88,N93
0.019952,N1,N10,N13,N71
0.019941,N3,N53,N56,N65
0.019938,N31,N55,N86,N94
0.019926,N41,N43,N56,N65
0.019915,N37,N55,N56,N93
0.019907,N1,N21,N59,N85
0.019901,N10,N13,N36,N44
0.019891,N1,N10,N13,N97
0.019886,N66,N85,N95,N96
0.019886,N12,N19,N36,N65
0.019882,N15,N17,N66,N75
0.019868,N15,N21,N33,N95
0.019868,N13,N36,N44,N88
0.019858,N36,N41,N76,N88
0.019855,N55,N60,N88,N93
0.019855,N10,N34,N77,N96
0.019852,N34,N77,N96,N97
0.019839,N21,N36,N81,N88
0.019827,N36,N44,N69,N81
0.019819,N13,N18,N42,N66
0.019800,N1,N79,N82,N83
0.019789,N37,N43,N87,N96
0.019787,N1,N24,N43,N69
0.019776,N11,N47,N53,N77
0.019771,N18,N20,N83,N87
0.019758,N9,N49,N53,N81
0.019758,N11,N25,N43,N87
0.019735,N44,N54,N72,N87
0.019735,N17,N54,N59,N97
0.019728,N13,N49,N60,N81
0.019724,N34,N36,N37,N87
0.019724,N20,N24,N43,N60
0.019722,N1,N72,N75,N96
0.019716,N11,N31,N56,N85
0.019707,N19,N20,N41,N76
0.019699,N21,N41,N42,N44
0.019687,N20,N30,N43,N93
0.019670,N9,N24,N44,N46
0.019670,N19,N23,N47,N54
0.019656,N21,N59,N71,N88
0.019646,N37,N52,N71,N85
0.019641,N1,N37,N44,N81
0.019639,N56,N71,N75,N96
0.019636,N12,N15,N77,N88
0.019628,N11,N21,N65,N79
0.019619,N43,N60,N69,N96
0.019619,N20,N52,N60,N87
0.019606,N11,N36,N54,N56
0.019588,N21,N36,N41,N56
0.019588,N12,N52,N56,N81
0.019580,N51,N56,N77,N83
0.019572,N10,N18,N33,N85
0.019565,N17,N29,N71,N96
0.019560,N13,N24,N47,N88
0.019548,N9,N24,N34,N60
0.019541,N77,N79,N83,N86
0.019541,N24,N42,N44,N76
0.019528,N56,N65,N77,N83
0.019528,N21,N60,N64,N77
0.019519,N13,N36,N65,N85
0.019518,N56,N72,N76,N96
0.019516,N10,N12,N54,N55
0.019512,N15,N24,N43,N69
0.019507,N11,N18,N65,N77
0.019505,N24,N34,N69,N71
0.019503,N60,N85,N86,N94
0.019503,N18,N65,N71,N76
0.019486,N37,N55,N71,N76
0.019468,N41,N65,N75,N85
0.019468,N12,N31,N52,N93
0.019459,N12,N19,N65,N83
0.019458,N51,N56,N60,N86
0.019457,N20,N60,N69,N75
0.019447,N8,N12,N15,N66
0.019446,N29,N33,N56,N76
0.019441,N3,N17,N81,N88
0.019435,N11,N53,N56,N75
0.019425,N1,N20,N59,N96
0.019425,N17,N59,N85,N97
0.019411,N9,N43,N52,N96
0.019407,N13,N44,N65,N83
0.019400,N9,N11,N29,N34
0.019397,N52,N53,N54,N85
0.019396,N9,N15,N17,N30
0.019394,N23,N36,N56,N71
0.019394,N21,N33,N65,N97
0.019394,N21,N32,N36,N86
0.019392,N8,N10,N21,N40
0.019380,N7,N23,N52,N75
0.019375,N1,N21,N59,N77
0.019363,N1,N43,N83,N88
0.019360,N15,N20,N24,N87
0.019359,N1,N20,N54,N87
0.019353,N11,N23,N53,N87
0.019344,N10,N24,N36,N44
0.019342,N9,N17,N21,N33
0.019342,N8,N10,N75,N86
0.019342,N10,N13,N21,N55
0.019317,N11,N12,N20,N76
0.019308,N8,N65,N79,N82
0.019301,N10,N13,N21,N31
0.019299,N3,N54,N81,N96
0.019281,N7,N19,N29,N32
0.019278,N15,N17,N24,N65
