Alpha,SNP_A,SNP_B,SNP_C
0.003033,N0,N3,N37
0.003234,N0,N6,N19
0.003604,N0,N6,M1T3
0.003239,N0,N17,M0P1
0.003539,N0,N20,N34
0.003240,N0,N22,M2Q3
0.003232,N0,N24,M1T1
0.003164,N0,N26,M1T3
0.003188,N0,N28,M0P2
0.003331,N0,N28,M2Q2
0.003047,N0,N29,N33
0.003131,N0,N30,M0P2
0.003270,N0,N31,M1T3
0.003285,N0,N34,N39
0.003845,N0,N40,M1T2
0.003826,N0,N40,M2Q2
0.003157,N0,M2Q2,M2Q4
0.003084,N1,N19,N37
0.003611,N2,N3,N20
0.003250,N2,N4,M2Q2
0.004487,N2,N9,N12
0.003173,N2,N11,N12
0.004289,N2,N11,N24
0.003413,N2,N12,N24
0.003167,N2,N12,N31
0.003236,N2,N12,M0P1
0.003826,N2,N12,M1T1
0.003027,N2,N16,M1T2
0.003074,N2,N20,N22
0.003191,N2,N22,N24
0.003325,N2,N22,M0P2
0.003305,N2,N24,N31
0.003286,N2,N24,M1T1
0.003057,N2,N24,M1T3
0.003026,N2,N27,M0P1
0.003003,N2,N30,M0P2
0.003270,N2,N31,N36
0.003037,N2,N32,M2Q3
0.003111,N2,N33,N37
0.003206,N2,N33,M1T1
0.003029,N2,N36,M2Q1
0.004124,N2,M0P1,M2Q1
0.004495,N2,M0P1,M2Q3
0.003281,N2,M1T1,M2Q2
0.003232,N3,N9,N36
0.003170,N3,N9,N37
0.003935,N3,N9,N39
0.003029,N3,N9,M1T1
0.003000,N3,N15,M1T3
0.003786,N3,N19,M0P2
0.003143,N3,N31,M1T3
0.003091,N3,N35,N37
0.003426,N3,N37,M1T1
0.003561,N3,N37,M2Q1
0.003326,N3,M1T1,M1T3
0.003385,N3,M1T2,M1T3
0.003203,N4,N35,M2Q4
0.004257,N6,N7,M2Q1
0.003233,N6,N10,N40
0.003270,N6,N11,N18
0.003122,N6,N11,N22
0.003106,N6,N12,N34
0.003139,N6,N19,N31
0.003190,N6,N20,N31
0.003112,N6,N20,N34
0.003114,N6,N20,M2Q1
0.003920,N6,N26,N28
0.003047,N6,N31,M2Q1
0.003115,N6,N34,N38
0.003129,N6,N34,M2Q1
0.003853,N6,N34,M2Q2
0.003755,N6,N40,M1T1
0.003222,N6,M0P1,M1T1
0.003342,N7,N18,N35
0.003079,N7,N18,M1T3
0.003168,N7,N20,N29
0.003023,N7,N20,N35
0.003320,N7,N22,M2Q4
0.003162,N7,N30,N36
0.003519,N7,N31,N36
0.003264,N7,N31,M1T3
0.003804,N7,N31,M2Q3
0.003841,N7,N36,M2Q3
0.003436,N8,N24,N39
0.003334,N8,N30,M2Q4
0.003125,N9,N10,M1T3
0.003521,N9,N11,N12
0.003179,N9,N12,N18
0.003296,N9,N12,N20
0.003311,N9,N12,M1T1
0.003729,N9,N12,M2Q1
0.003250,N9,N15,M0P1
0.003131,N9,N15,M2Q1
0.004071,N9,N20,N39
0.003307,N9,N36,M1T2
0.003363,N9,N37,M2Q1
0.003152,N9,N38,M0P1
0.003045,N9,N38,M2Q1
0.003065,N9,M1T1,M2Q3
0.003720,N10,N13,N19
0.003451,N10,N13,N35
0.003200,N10,N18,N38
0.003494,N10,N18,M1T2
0.003111,N10,N19,N36
0.003090,N10,N22,M1T2
0.003251,N10,N29,N31
0.003304,N10,N29,N37
0.003512,N10,N29,M1T2
0.003032,N10,M0P2,M1T3
0.003050,N10,M0P2,M2Q4
0.003077,N10,M1T1,M1T3
0.003163,N10,M1T2,M1T3
0.003028,N11,N12,N20
0.003240,N11,N13,N22
0.003084,N11,N15,M2Q4
0.003059,N11,N18,N22
0.003548,N11,N18,N28
0.003058,N11,N18,M1T3
