Alpha,SNP_A,SNP_B
0.512242,M0P1,M0P2
0.504130,N18,M1T3
0.503511,N7,N36
0.503270,N7,M1T3
0.503223,N7,N31
0.503207,N6,N11
0.502834,N31,M2Q3
0.502807,N33,M1T3
0.502757,N18,N35
0.502745,M1T2,M2Q2
0.502726,N15,N31
0.502604,N15,M1T3
0.502533,N4,N7
0.502516,N5,N30
0.502514,N34,M1T3
0.502498,N7,M2Q3
0.502460,N7,N18
0.502460,N18,N31
0.502429,N4,N18
0.502412,N2,N11
0.502391,N31,M1T3
0.502312,N24,N36
0.502298,N7,M2Q2
0.502296,N7,N23
0.502281,N11,N36
0.502261,N26,M1T3
0.502227,N11,N31
0.502225,N31,N37
0.502203,M1T3,M2Q3
0.502198,N11,M1T3
0.502196,N3,M1T3
0.502183,N18,N20
0.502182,N6,N18
0.502157,N38,M0P1
0.502146,N24,M1T3
0.502139,N4,N15
0.502117,N15,N36
0.502107,N14,M1T3
0.502106,N7,M2Q1
0.502097,N7,N35
0.502088,N36,M1T3
0.502081,N7,N22
0.502064,N18,N30
0.502057,N7,N15
0.502046,N16,M1T2
0.502043,N11,N22
0.502038,N12,N39
0.502016,N22,N34
0.502003,N7,N19
0.501996,N4,N31
0.501985,M0P2,M1T3
0.501958,N25,M1T3
0.501957,N3,N18
0.501951,N7,N12
0.501942,N7,N13
0.501929,N16,M2Q1
0.501928,N7,N30
0.501924,N18,N24
0.501922,M1T3,M2Q4
0.501920,M1T1,M1T3
0.501919,N4,M0P2
0.501917,M1T2,M1T3
0.501910,N34,M2Q2
0.501905,N4,M1T3
0.501904,N16,M2Q3
0.501891,N18,M2Q3
0.501890,N23,N31
0.501881,N20,N35
0.501861,N26,M2Q1
0.501856,N7,N29
0.501856,N31,M2Q4
0.501855,N7,N20
0.501848,N20,N22
0.501844,N14,N18
0.501842,N36,N40
0.501829,N4,N22
0.501827,N18,N36
0.501825,N4,N12
0.501824,N31,N38
0.501816,N5,N7
0.501815,N11,N12
0.501809,N7,N11
0.501802,N3,N7
0.501797,N5,M1T3
0.501797,N18,N22
0.501795,N7,N27
0.501790,N20,N29
0.501789,N18,N28
0.501786,N39,M1T3
0.501765,N12,M1T1
0.501757,N9,N38
0.501741,N29,N40
0.501739,N31,M2Q2
