Alpha,SNP_A,SNP_B,SNP_C,SNP_D
0.525405,N3,M1T1,M1T2,M1T3
0.524913,N2,M1T1,M1T2,M1T3
0.524356,N2,M0P1,M0P2,M2Q3
0.523308,N0,M1T1,M1T2,M1T3
0.523105,N0,N36,M0P1,M0P2
0.523043,N2,N22,M0P1,M0P2
0.522949,N2,M0P1,M0P2,M1T2
0.522873,N5,M1T1,M1T2,M1T3
0.522705,N2,M0P1,M0P2,M2Q1
0.522529,N4,M1T1,M1T2,M1T3
0.522478,N2,N18,M0P1,M0P2
0.522453,N2,N24,M0P1,M0P2
0.522406,N0,M0P1,M0P2,M1T2
0.522399,N2,N34,M0P1,M0P2
0.522348,N0,N28,M0P1,M0P2
0.522335,N0,N24,M0P1,M0P2
0.522281,N2,N28,M0P1,M0P2
0.522279,N2,N29,M0P1,M0P2
0.522095,N0,M0P1,M0P2,M2Q3
0.521997,N1,M1T1,M1T2,M1T3
0.521637,N0,N38,M0P1,M0P2
0.521632,N3,M0P1,M0P2,M1T2
0.521625,N0,N22,M0P1,M0P2
0.521527,N0,N37,M0P1,M0P2
0.521504,N2,N38,M0P1,M0P2
0.521486,N2,N31,M0P1,M0P2
0.521432,N3,M0P1,M0P2,M2Q1
0.521424,N0,N31,M0P1,M0P2
0.521389,N3,N24,M0P1,M0P2
0.521363,N2,N36,M0P1,M0P2
0.521314,N0,N30,M0P1,M0P2
0.521284,N2,N12,M0P1,M0P2
0.521272,N2,N20,M0P1,M0P2
0.521157,N0,M0P1,M0P2,M2Q1
0.521138,N2,N26,M0P1,M0P2
0.521056,N0,N13,M0P1,M0P2
0.521048,N0,M0P1,M0P2,M2Q2
0.520941,N2,N33,M0P1,M0P2
0.520883,N0,N40,M0P1,M0P2
0.520880,N2,M0P1,M0P2,M2Q4
0.520876,N0,M0P1,M0P2,M1T1
0.520850,N2,M0P1,M0P2,M1T3
0.520844,N0,N3,M0P1,M0P2
0.520795,N3,N19,M0P1,M0P2
0.520765,N3,N26,M0P1,M0P2
0.520734,N3,N29,M0P1,M0P2
0.520704,N0,N17,M0P1,M0P2
0.520687,N2,M0P1,M0P2,M2Q2
0.520685,N3,N28,M0P1,M0P2
0.520655,N0,N35,M0P1,M0P2
0.520645,N0,M0P1,M0P2,M1T3
0.520622,N3,M0P1,M0P2,M2Q2
0.520595,N3,N18,M0P1,M0P2
0.520573,N0,N19,M0P1,M0P2
0.520563,N3,N30,M0P1,M0P2
0.520556,N3,M0P1,M0P2,M2Q3
0.520485,N0,N16,M0P1,M0P2
0.520463,N0,N2,M0P1,M0P2
0.520462,N0,N26,M0P1,M0P2
0.520428,N0,M0P1,M0P2,M2Q4
0.520385,N3,N22,M0P1,M0P2
0.520381,N3,M0P1,M0P2,M1T3
0.520352,N0,N18,M0P1,M0P2
0.520319,N0,N14,M0P1,M0P2
0.520317,N2,N7,M0P1,M0P2
0.520266,N0,N6,M0P1,M0P2
0.520247,N3,N31,M0P1,M0P2
0.520216,N3,N39,M0P1,M0P2
0.520132,N0,N10,M0P1,M0P2
0.520129,N2,N17,M0P1,M0P2
0.520081,N0,N34,M0P1,M0P2
0.520080,N2,N11,M0P1,M0P2
0.520070,N4,N18,M0P1,M0P2
0.520064,N3,N38,M0P1,M0P2
0.520052,N2,N30,M0P1,M0P2
0.520045,N2,N39,M0P1,M0P2
0.520042,N3,N36,M0P1,M0P2
0.520002,N2,N15,M0P1,M0P2
0.519978,N2,N37,M0P1,M0P2
0.519965,N2,N16,M0P1,M0P2
0.519925,N0,N15,M0P1,M0P2
0.519875,N2,N10,M0P1,M0P2
0.519865,N2,N19,M0P1,M0P2
0.519839,N0,N29,M0P1,M0P2
0.519834,N3,M0P1,M0P2,M1T1
0.519778,N3,N11,M0P1,M0P2
0.519720,N2,N9,M0P1,M0P2
0.519689,N0,N7,M0P1,M0P2
0.519683,N0,N9,M0P1,M0P2
0.519681,N0,N25,M0P1,M0P2
0.519654,N2,N8,M0P1,M0P2
0.519629,N3,N37,M0P1,M0P2
0.519618,N0,N8,M0P1,M0P2
0.519566,N2,N27,M0P1,M0P2
0.519561,N0,N11,M0P1,M0P2
0.519545,N3,N40,M0P1,M0P2
0.519518,N0,N33,M0P1,M0P2
0.519515,N0,N20,M0P1,M0P2
0.519499,N2,N3,M0P1,M0P2
0.519481,N3,N9,M0P1,M0P2
0.519468,N2,M0P1,M0P2,M1T1
0.519446,N2,N40,M0P1,M0P2
0.519400,N2,N32,M0P1,M0P2
0.519397,N3,N13,M0P1,M0P2
0.519397,N2,N6,M0P1,M0P2
0.519395,N3,N10,M0P1,M0P2
0.519389,N0,N39,M0P1,M0P2
0.519300,N3,N4,M0P1,M0P2
0.519295,N3,N34,M0P1,M0P2
0.519266,N3,M0P1,M0P2,M2Q4
0.519255,N3,N33,M0P1,M0P2
0.519228,N4,N38,M0P1,M0P2
0.519215,N4,N22,M0P1,M0P2
0.519182,N2,N4,M0P1,M0P2
0.519092,N0,N4,M0P1,M0P2
0.519088,N3,N32,M0P1,M0P2
0.519026,N4,M0P1,M0P2,M2Q2
0.519019,N3,N6,M0P1,M0P2
0.518995,N3,N15,M0P1,M0P2
0.518993,N0,N12,M0P1,M0P2
0.518927,N5,N38,M0P1,M0P2
0.518888,N4,N20,M0P1,M0P2
0.518874,N2,N35,M0P1,M0P2
0.518858,N3,N12,M0P1,M0P2
0.518841,N3,N20,M0P1,M0P2
0.518785,N2,N14,M0P1,M0P2
0.518761,N4,N31,M0P1,M0P2
0.518727,N3,N8,M0P1,M0P2
0.518700,N4,M0P1,M0P2,M1T2
0.518674,N2,N25,M0P1,M0P2
0.518665,N3,N16,M0P1,M0P2
0.518653,N2,N13,M0P1,M0P2
0.518652,N3,N7,M0P1,M0P2
0.518611,N2,N5,M0P1,M0P2
0.518603,N3,N27,M0P1,M0P2
