Beta,SNP_A,SNP_B
0.502026,N0,N7
0.502184,N0,M1T3
0.502412,N2,N11
0.502196,N3,M1T3
0.502533,N4,N7
0.502139,N4,N15
0.502429,N4,N18
0.502516,N5,N30
0.503207,N6,N11
0.502182,N6,N18
0.502057,N7,N15
0.502460,N7,N18
0.502003,N7,N19
0.502081,N7,N22
0.502296,N7,N23
0.503223,N7,N31
0.502097,N7,N35
0.503511,N7,N36
0.503270,N7,M1T3
0.502106,N7,M2Q1
0.502298,N7,M2Q2
0.502498,N7,M2Q3
0.502043,N11,N22
0.502227,N11,N31
0.502281,N11,N36
0.502198,N11,M1T3
0.502038,N12,N39
0.502107,N14,M1T3
0.502726,N15,N31
0.502117,N15,N36
0.502604,N15,M1T3
0.502046,N16,M1T2
0.502183,N18,N20
0.502064,N18,N30
0.502460,N18,N31
0.502757,N18,N35
0.504130,N18,M1T3
0.502016,N22,N34
0.502312,N24,N36
0.502146,N24,M1T3
0.502261,N26,M1T3
0.502225,N31,N37
0.502391,N31,M1T3
0.502834,N31,M2Q3
0.502807,N33,M1T3
0.502514,N34,M1T3
0.502088,N36,M1T3
0.502157,N38,M0P1
0.512242,M0P1,M0P2
0.502745,M1T2,M2Q2
0.502203,M1T3,M2Q3
