Alpha,SNP_A
0.001081,N7
0.001046,M1T3
0.000943,N18
0.000886,N31
0.000824,N4
0.000668,N36
0.000570,N5
0.000547,N23
0.000533,N22
0.000445,N11
0.000424,M2Q3
0.000409,M2Q2
0.000355,N15
0.000347,N34
0.000292,N39
0.000285,N16
0.000283,M1T1
0.000232,N27
0.000227,N20
0.000226,N3
0.000224,M2Q1
0.000216,N35
0.000209,M1T2
0.000197,N32
0.000194,M0P2
0.000183,N14
0.000168,M2Q4
0.000148,N25
0.000146,N29
0.000135,N2
0.000132,N24
0.000123,M0P1
0.000120,N40
0.000108,N30
0.000108,N12
0.000106,N0
0.000085,N33
0.000084,N6
0.000080,N10
0.000073,N37
0.000060,N13
0.000038,N9
0.000035,N38
0.000030,N17
0.000030,N1
0.000021,N19
0.000015,N21
0.000011,N8
0.000007,N28
0.000002,N26
