Beta,SNP_A
0.501081,N7
0.501046,M1T3
0.500943,N18
0.500886,N31
0.500824,N4
0.500668,N36
0.500570,N5
0.500547,N23
0.500533,N22
0.500445,N11
0.500424,M2Q3
0.500409,M2Q2
0.500355,N15
0.500347,N34
0.500292,N39
0.500285,N16
0.500283,M1T1
0.500232,N27
0.500227,N20
0.500226,N3
0.500224,M2Q1
0.500216,N35
0.500209,M1T2
0.500197,N32
0.500194,M0P2
0.500183,N14
0.500168,M2Q4
0.500148,N25
0.500146,N29
0.500135,N2
0.500132,N24
0.500123,M0P1
0.500120,N40
0.500108,N30
0.500108,N12
0.500106,N0
0.500085,N33
0.500084,N6
0.500080,N10
0.500073,N37
0.500060,N13
0.500038,N9
0.500035,N38
0.500030,N17
0.500030,N1
0.500021,N19
0.500015,N21
0.500011,N8
0.500007,N28
0.500002,N26
