Alpha,SNP_A,SNP_B
0.005487,N17,N88
0.005371,N9,N97
0.004913,N24,N43
0.004880,N8,N25
0.004674,N34,N49
0.004532,N21,N42
0.004493,N73,N89
0.004455,N50,N76
0.004439,N76,N89
0.004298,N59,N93
0.004279,N65,N88
0.004174,N7,N32
0.004173,N54,N63
0.004158,N0,N32
0.004148,N6,N88
0.004103,N48,N88
0.004091,N21,N77
0.003965,N19,N79
0.003963,N85,N96
0.003952,N10,N13
0.003937,N58,N60
0.003935,N30,N90
0.003926,N46,N64
0.003921,N20,N80
0.003918,N43,N85
0.003899,N8,N33
0.003856,N16,N87
0.003833,N42,N44
0.003822,N52,N58
0.003793,N36,N41
0.003773,N42,N80
0.003772,N7,N47
0.003770,N56,N61
0.003714,N43,N95
0.003701,N87,N91
0.003679,N77,N94
0.003672,N70,N77
0.003672,N3,N75
0.003650,N38,N65
0.003643,N5,N66
0.003611,N15,N82
0.003584,N5,N68
0.003583,N52,N89
0.003571,N72,N80
0.003567,N35,N52
0.003550,N74,N79
0.003535,N15,N73
0.003533,N65,N97
0.003531,N18,N71
0.003521,N9,N70
0.003515,N60,N74
0.003514,M0P1,M0P2
0.003507,N49,N55
0.003507,N24,N90
0.003504,N48,N85
0.003494,N69,N72
0.003490,N38,N55
0.003487,N11,N37
0.003486,N43,N87
0.003485,N17,N31
0.003483,N60,N91
0.003466,N3,N17
0.003454,N6,M0P2
0.003451,N53,N72
0.003449,N26,N79
0.003447,N9,N69
0.003447,N56,N65
0.003446,N6,N18
0.003441,N33,N97
0.003433,N21,N24
0.003419,N20,N58
0.003413,N55,N80
0.003395,N9,N16
0.003389,N36,N69
0.003389,N1,N20
0.003339,N88,N94
0.003336,N31,M0P1
0.003334,N71,N77
0.003322,N24,N88
0.003319,N5,N50
0.003312,N41,N47
0.003307,N28,N79
0.003298,N8,N69
0.003295,N33,N89
0.003294,N29,N97
0.003290,N10,N36
0.003275,N34,N63
0.003274,N37,N55
0.003267,N51,N85
0.003258,N18,N97
0.003257,N35,N43
0.003257,N25,N89
0.003255,N5,N35
0.003252,N81,N90
0.003252,N31,N56
0.003242,N16,N78
0.003223,N21,N35
0.003215,N28,N43
0.003207,N11,N40
0.003204,N14,N81
