Alpha,SNP_A,SNP_B,SNP_C,SNP_D
0.022278,N5,N30,N31,N76
0.021465,N12,N26,N66,N89
0.021436,N18,N51,N74,N75
0.021148,N6,N21,N86,N89
0.021114,N8,N12,N13,N80
0.021045,N12,N38,N61,N76
0.020946,N6,N73,N83,N86
0.020749,M0P1,M2P4,M2P5,M2P6
0.020707,N31,N43,N83,N86
0.020621,N5,N11,N46,N61
0.020606,N11,N33,N46,N66
0.020605,N16,N18,N29,N76
0.020572,N29,N30,N38,N66
0.020537,N26,N30,N51,N80
0.020506,N12,N23,N27,N33
0.020456,N8,N26,N43,N86
0.020448,N5,N19,N29,N73
0.020446,N17,N75,N76,N78
0.020407,N27,N31,N67,N86
0.020389,N5,N31,N76,N89
0.020358,N27,N48,N74,N79
0.020195,N27,N38,N51,N76
0.020182,N8,N48,N51,N73
0.020176,N12,N51,N73,N78
0.020148,N6,N33,N34,N45
0.020067,N19,N38,N61,N89
0.020021,N11,N45,N66,M2P6
0.019998,N18,N21,N73,N74
0.019937,N30,N31,N80,N86
0.019885,N34,N45,N70,N76
0.019874,N5,N34,N61,N76
0.019864,N18,N51,N74,N80
0.019858,N30,N31,N34,N91
0.019835,N15,N31,N66,N86
0.019830,N12,N29,N76,N83
0.019818,N5,N24,N29,N83
0.019811,N43,N48,N61,N74
0.019790,N56,N66,N74,N75
0.019788,N15,N38,N46,N79
0.019781,N12,N27,N52,N86
0.019772,N11,N18,N38,N56
0.019736,N15,N27,N29,N54
0.019732,N8,N12,N13,N31
0.019724,N8,N11,N34,N45
0.019723,N6,N21,N31,N86
0.019665,N6,N13,N15,N36
0.019659,N23,N29,N31,M2P6
0.019648,N26,N30,N66,N73
0.019641,N16,N26,N43,N57
0.019633,N6,N30,N31,N80
