Alpha,SNP_A,SNP_B
0.014046,M1P2,M1P3
0.006091,N6,N80
0.005645,N34,N89
0.005275,N9,N48
0.005044,N6,N89
0.004569,N82,M2P4
0.004569,N49,N56
0.004525,N26,N32
0.004369,N8,N34
0.004290,N5,N77
0.004283,N21,N82
0.004195,N79,N89
0.004176,N30,N45
0.004152,N31,N86
0.004115,N63,N73
0.004083,N18,N62
0.004075,N2,N13
0.004054,N46,N83
0.004032,N43,N57
0.004015,N26,N50
0.003976,N3,N26
0.003953,N9,N91
0.003944,N2,N77
0.003919,N6,N73
0.003918,N61,M1P3
0.003914,N29,N32
0.003909,N9,N22
0.003899,N76,M1P3
0.003887,N12,N35
0.003866,N62,N79
0.003845,N16,N57
0.003792,N18,N93
0.003787,N64,M2P4
0.003786,N54,N77
0.003773,N14,N28
0.003748,N24,N27
0.003732,N38,N41
0.003708,N51,N75
0.003676,N10,N32
0.003658,N50,N89
0.003617,N18,N29
0.003610,N83,M2P6
0.003593,N29,N89
0.003589,N12,N18
0.003574,N9,N32
0.003555,N70,N80
0.003553,N32,N48
0.003547,N4,N72
0.003519,N3,N24
0.003486,N22,N66
