SNP,SNP_B,PAIR_B,TRIPLET_B,QUADLET_B,SNP_A,PAIR_A,TRIPLET_A,QUADLET_A,PAIR,TRIPLET_1,TRIPLET_2,QUADLET_1,QUADLET_2,QUADLET_3
N0,0.500106,0.501266,0.504727,0.515825,0.000106,0.001160,0.003845,0.010036,N13,N40,M1T2,N6,N31,M1T3
N1,0.500030,0.501104,0.504765,0.510806,0.000030,0.001031,0.003084,0.006398,N37,N19,N37,N29,M2Q2,M2Q3
N2,0.500135,0.502412,0.505754,0.516657,0.000135,0.001966,0.004495,0.010382,N11,M0P1,M2Q3,N31,M2Q3,M2Q4
N3,0.500226,0.501613,0.505409,0.513267,0.000226,0.001387,0.003935,0.009410,M1T2,N9,N39,N22,N29,M1T1
N4,0.500824,0.502429,0.504712,0.510421,0.000824,0.001486,0.003250,0.006429,N18,N2,M2Q2,N26,M1T1,M2Q1
N5,0.500570,0.502516,0.504809,0.509755,0.000570,0.001946,0.002948,0.006094,N30,N26,M2Q1,N19,N37,N39
N6,0.500084,0.503207,0.506364,0.515825,0.000084,0.002761,0.004257,0.010036,N11,N7,M2Q1,N0,N31,M1T3
N7,0.501081,0.503511,0.506364,0.515492,0.001081,0.002429,0.004257,0.008141,N36,N6,M2Q1,N31,N36,M2Q3
N8,0.500011,0.501426,0.504884,0.512466,0.000011,0.001342,0.003436,0.007608,N33,N24,N39,N31,N37,M1T2
N9,0.500038,0.501757,0.506151,0.515729,0.000038,0.001718,0.004487,0.010351,N38,N2,N12,N12,N37,M2Q1
N10,0.500080,0.501097,0.504763,0.512596,0.000080,0.000929,0.003720,0.009163,M2Q4,N13,N19,N33,M0P1,M2Q1
N11,0.500445,0.503207,0.506700,0.515275,0.000445,0.002761,0.004289,0.009512,N6,N2,N24,N6,N34,M2Q2
N12,0.500108,0.502038,0.506151,0.515729,0.000108,0.001745,0.004487,0.010351,N39,N2,N9,N9,N37,M2Q1
N13,0.500060,0.501464,0.504763,0.515708,0.000060,0.001255,0.003720,0.010360,M1T2,N10,N19,N22,N31,N34
N14,0.500183,0.501585,0.505622,0.512702,0.000183,0.001402,0.003231,0.007440,N12,N31,M1T3,N6,N20,M1T3
N15,0.500355,0.502726,0.506194,0.514762,0.000355,0.001841,0.003468,0.008380,N31,N31,M1T2,N31,M1T2,M2Q2
N16,0.500285,0.502046,0.506918,0.514825,0.000285,0.001761,0.004173,0.008709,M1T2,M1T2,M2Q2,N31,M1T2,M2Q1
N17,0.500030,0.501533,0.504301,0.514472,0.000030,0.001124,0.003239,0.008655,M2Q2,N0,M0P1,N36,M1T1,M2Q3
N18,0.500943,0.504130,0.505840,0.514627,0.000943,0.003085,0.003949,0.009761,M1T3,N38,M2Q3,N0,N20,N34
N19,0.500021,0.501681,0.504811,0.514012,0.000021,0.001608,0.003786,0.009271,N37,N3,M0P2,N31,M1T2,M2Q1
N20,0.500227,0.501881,0.505017,0.515107,0.000227,0.001654,0.004071,0.009916,N35,N9,N39,N6,N22,N34
N21,0.500015,0.501166,0.504236,0.510334,0.000015,0.001081,0.003024,0.006301,N33,N22,N35,N13,M1T2,M2Q4
N22,0.500533,0.502043,0.505407,0.515648,0.000533,0.001510,0.004017,0.010765,N11,N29,M0P1,N30,M0P1,M1T3
N23,0.500547,0.502296,0.504212,0.509877,0.000547,0.001215,0.002810,0.006267,N7,N0,N13,N22,M0P1,M2Q3
N24,0.500132,0.502312,0.506324,0.514823,0.000132,0.001644,0.005109,0.009231,N36,N34,M2Q3,N2,N12,M1T1
N25,0.500148,0.501521,0.504239,0.509600,0.000148,0.001372,0.002894,0.006624,N12,N0,N22,N6,N39,M1T1
N26,0.500002,0.501861,0.506388,0.515974,0.000002,0.001637,0.004127,0.009510,M2Q1,N39,M1T3,N18,N39,M1T3
N27,0.500232,0.501547,0.504568,0.512895,0.000232,0.001314,0.003085,0.008268,M2Q1,N29,N31,N10,N29,N31
N28,0.500007,0.501289,0.505231,0.513934,0.000007,0.001278,0.004075,0.009634,N8,N39,M1T2,N0,N36,M2Q3
N29,0.500146,0.501741,0.505636,0.515779,0.000146,0.001595,0.004166,0.010052,N40,N36,M2Q1,N22,M0P1,M2Q4
N30,0.500108,0.502516,0.504443,0.515648,0.000108,0.001946,0.003334,0.010765,N5,N8,M2Q4,N22,M0P1,M1T3
N31,0.500886,0.503223,0.506898,0.516657,0.000886,0.002142,0.004507,0.010382,N7,N24,M1T3,N2,M2Q3,M2Q4
N32,0.500197,0.501729,0.504902,0.512691,0.000197,0.001060,0.003715,0.007386,N36,N35,N37,N29,N31,M2Q3
N33,0.500085,0.502807,0.505439,0.513832,0.000085,0.001762,0.004080,0.009570,M1T3,N36,N37,N9,N29,N37
N34,0.500347,0.501910,0.506324,0.515708,0.000347,0.001501,0.005109,0.010360,M2Q2,N24,M2Q3,N13,N22,N31
N35,0.500216,0.502757,0.504902,0.512676,0.000216,0.001814,0.003715,0.009002,N18,N32,N37,N13,N33,N37
N36,0.500668,0.503511,0.505636,0.513934,0.000668,0.002429,0.004166,0.009634,N7,N29,M2Q1,N0,N28,M2Q3
N37,0.500073,0.501681,0.505439,0.515729,0.000073,0.001608,0.004080,0.010351,N19,N33,N36,N9,N12,M2Q1
N38,0.500035,0.502157,0.516496,0.514532,0.000035,0.002034,0.004254,0.009308,M0P1,M0P1,M0P2,N29,M0P1,M2Q3
N39,0.500292,0.502038,0.506388,0.515974,0.000292,0.001745,0.004127,0.009510,N12,N26,M1T3,N18,N26,M1T3
N40,0.500120,0.501741,0.504727,0.515694,0.000120,0.001595,0.003845,0.009420,N29,N0,M1T2,N31,M2Q3,M2Q4
M0P1,0.500123,0.512242,0.505754,0.515648,0.000123,0.012048,0.004495,0.010765,M0P2,N2,M2Q3,N22,N30,M1T3
