Alpha,SNP_A,SNP_B,SNP_C
0.020387,M2P4,M2P5,M2P6
0.013988,N6,N12,N29
0.013659,M0P1,M1P2,M1P3
0.010729,N6,N21,N86
0.009748,N30,N83,M2P6
0.009665,N29,N49,N56
0.009622,N38,N48,N83
0.009507,N61,N74,N83
0.009477,N29,N45,M1P2
0.009374,N1,N18,N30
0.009334,N5,N42,N73
0.009303,N27,N67,N80
0.009279,N8,N34,N91
0.009163,N30,N46,N79
0.009136,N27,N29,N36
0.009125,N5,N6,N24
0.009061,N11,N30,N44
0.009043,N46,N88,N91
0.009036,N18,N26,N89
0.008961,N6,N80,N89
0.008959,N29,N38,N89
0.008933,N30,N38,N45
0.008905,N12,N18,N74
0.008844,N29,N56,N62
0.008836,N13,N30,N62
0.008795,N27,N71,M2P4
0.008704,N24,N27,N38
0.008698,N0,N56,N58
0.008690,N43,N62,N86
0.008680,N39,N57,N62
0.008680,N26,N43,N83
0.008673,N51,N77,N91
0.008662,N5,N11,N61
0.008662,N39,N54,M2P5
0.008643,N23,N24,N46
0.008632,N18,N66,N77
0.008628,N8,N34,N89
0.008621,N6,N70,N80
0.008617,N51,N56,N78
0.008606,N6,N69,N80
0.008601,N5,N24,N29
0.008583,N83,N88,M2P4
0.008575,N9,N12,N71
0.008529,N5,N9,N19
0.008529,N14,N38,N83
0.008518,N8,N62,N79
0.008515,N18,N73,N74
0.008505,N38,N61,M1P3
0.008496,N38,N79,N89
0.008475,N6,N21,N73
