Alpha,SNP_A,SNP_B
0.012048,M0P1,M0P2
0.003085,N18,M1T3
0.002761,N6,N11
0.002429,N7,N36
0.002335,M1T2,M2Q2
0.002189,N7,M1T3
0.002142,N7,N31
0.002034,N38,M0P1
0.001966,N2,N11
0.001948,N31,M2Q3
0.001946,N5,N30
0.001841,N15,N31
0.001814,N18,N35
0.001762,N33,M1T3
0.001761,N16,M1T2
0.001745,N12,N39
0.001718,N9,N38
0.001654,N20,N35
0.001644,N24,N36
0.001644,N16,M2Q1
0.001637,N26,M2Q1
0.001613,N11,N36
0.001608,N19,N37
0.001596,N2,N24
0.001595,N29,N40
0.001563,N20,N29
0.001559,N15,M1T3
0.001542,N9,N12
0.001530,N2,N12
0.001517,N18,N31
0.001510,N11,N22
0.001501,N34,M2Q2
0.001486,N4,N18
0.001482,N22,N34
0.001482,N12,M1T1
0.001479,N16,M2Q3
0.001469,N34,M1T3
0.001453,N12,N20
0.001452,N4,N7
0.001448,N15,N36
0.001423,N29,M2Q4
0.001421,N30,M0P2
0.001417,N7,M2Q3
0.001402,N12,N14
0.001387,N3,M1T2
0.001379,N7,N18
0.001372,N35,M1T2
0.001372,N12,N25
0.001369,N11,N12
0.001345,N31,M1T3
0.001342,N8,N33
0.001341,N11,N31
0.001340,N12,M2Q1
0.001339,N31,N37
0.001316,N4,N15
0.001315,N20,N22
0.001314,N27,M2Q1
0.001278,N8,N28
0.001257,N6,M2Q1
0.001255,N13,M1T2
0.001247,N9,M1T1
0.001242,M2Q3,M2Q4
0.001240,N18,N20
0.001239,N6,N18
0.001221,N30,M2Q2
0.001217,N7,M2Q2
0.001215,N7,N23
0.001215,N26,M1T3
0.001203,N29,N37
0.001202,N28,M2Q3
0.001181,N3,N39
0.001177,N35,M2Q4
0.001173,N36,N40
0.001172,N27,N30
0.001172,M2Q2,M2Q3
0.001160,N0,N13
0.001157,N30,N39
0.001157,M1T3,M2Q3
0.001156,N24,N39
0.001152,N11,M1T3
0.001151,N15,M1T2
0.001150,N3,M1T3
0.001148,N22,M2Q4
0.001145,N25,M2Q4
0.001142,N15,N34
0.001138,N0,M1T3
0.001126,N25,N35
